"Date","Three Fund Portfolio","Inflation"
"1971-02-22",10531.19,10577.87
"1971-02-23",10546.14,10578.82
"1971-02-24",10624.4,10579.77
"1971-02-25",10666.19,10580.71
"1971-02-26",10611.89,10581.66
"1971-03-01",10637.92,10584.41
"1971-03-02",10662.06,10585.27
"1971-03-03",10668.31,10586.12
"1971-03-04",10772.6,10586.98
"1971-03-05",10874.79,10587.83
"1971-03-08",10931.93,10590.4
"1971-03-09",11002.88,10591.26
"1971-03-10",11029.69,10592.11
"1971-03-11",11069.36,10592.97
"1971-03-12",11109.95,10593.82
"1971-03-15",11233.41,10596.39
"1971-03-16",11273.71,10597.24
"1971-03-17",11254.79,10598.1
"1971-03-18",11234.48,10598.96
"1971-03-19",11216.6,10599.81
"1971-03-22",11199.04,10602.38
"1971-03-23",11207.02,10603.23
"1971-03-24",11121.3,10604.09
"1971-03-25",11116.56,10604.95
"1971-03-26",11137.2,10605.8
"1971-03-29",11138.92,10608.37
"1971-03-30",11164.48,10609.22
"1971-03-31",11130.19,10610.08
"1971-04-01",11157.84,10610.96
"1971-04-02",11154.56,10611.85
"1971-04-05",11171.93,10614.5
"1971-04-06",11237.68,10615.38
"1971-04-07",11284.22,10616.27
"1971-04-08",11278.01,10617.15
"1971-04-12",11344.93,10620.69
"1971-04-13",11354.29,10621.57
"1971-04-14",11363.75,10622.46
"1971-04-15",11401.8,10623.34
"1971-04-16",11407.22,10624.23
"1971-04-19",11444.41,10626.88
"1971-04-20",11381.12,10627.76
"1971-04-21",11334.94,10628.65
"1971-04-22",11361.9,10629.53
"1971-04-23",11404.51,10630.42
"1971-04-26",11376.86,10633.07
"1971-04-27",11400.53,10633.95
"1971-04-28",11410.87,10634.84
"1971-04-29",11404.99,10635.72
"1971-04-30",11342.67,10636.6
"1971-05-03",11285.14,10641.74
"1971-05-04",11321.19,10643.45
"1971-05-05",11302.8,10645.16
"1971-05-06",11262.09,10646.87
"1971-05-07",11251.17,10648.58
"1971-05-10",11225.03,10653.72
"1971-05-11",11252.41,10655.43
"1971-05-12",11274.46,10657.14
"1971-05-13",11250.74,10658.85
"1971-05-14",11212.44,10660.56
"1971-05-17",11076.89,10665.7
"1971-05-18",11079.73,10667.41
"1971-05-19",11108.55,10669.12
"1971-05-20",11155.68,10670.83
"1971-05-21",11137.33,10672.54
"1971-05-24",11074.99,10677.68
"1971-05-25",11039.01,10679.39
"1971-05-26",11057.7,10681.1
"1971-05-27",11076.08,10682.81
"1971-05-28",11068.42,10684.52
"1971-06-01",11122.11,10692.31
"1971-06-02",11202.33,10694.96
"1971-06-03",11237.75,10697.61
"1971-06-04",11246.1,10700.27
"1971-06-07",11222.68,10708.22
"1971-06-08",11144.17,10710.88
"1971-06-09",11131.37,10713.53
"1971-06-10",11154.2,10716.18
"1971-06-11",11207.77,10718.83
"1971-06-14",11114.73,10726.79
"1971-06-15",11113.62,10729.44
"1971-06-16",11133.94,10732.1
"1971-06-17",11132.14,10734.75
"1971-06-18",11030.08,10737.4
"1971-06-21",10964.01,10745.36
"1971-06-22",10909.2,10748.01
"1971-06-23",10980.91,10750.66
"1971-06-24",10944.87,10753.32
"1971-06-25",10941.46,10755.97
"1971-06-28",10933.28,10763.93
"1971-06-29",11012.84,10766.58
"1971-06-30",11099.75,10769.23
